name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Mo (Ordal)",Ordal,RefractiveIndex.info,main,Ordal.yml,0.001390,0.969190,0.262791,0.002529,0.994118,1.000000,0.001260,0.933348,1.000000,0.001030,0.657797,1.000000,0.000400,1.000000,1.000000
"Mo (Querry)",Querry,RefractiveIndex.info,main,Querry.yml,0.000973,0.993564,1.000000,0.003471,0.990810,1.000000,0.000512,0.973670,1.000000,0.001070,0.000000,1.000000,0.000192,1.000000,0.705882
"Mo (Werner-DFT)",Werner-DFT,RefractiveIndex.info,main,Werner-DFT.yml,0.006959,0.999149,1.000000,0.000538,0.748848,1.000000,0.000397,1.000000,0.985489,0.000210,1.000000,0.000000,0.000176,1.000000,0.000000
"Mo (Werner)",Werner,RefractiveIndex.info,main,Werner.yml,0.001439,0.999873,1.000000,0.001390,0.867354,1.000000,0.000833,0.733583,0.985489,0.000225,1.000000,0.000000,0.000162,1.000000,0.000000
"Mo (Windt)",Windt,RefractiveIndex.info,main,Windt.yml,0.000183,1.000000,0.000000,0.000238,1.000000,0.000000,0.000201,1.000000,0.000000,0.000176,1.000000,0.000000,0.000209,1.000000,0.000000
"MoO3 (Lajaunie-alpha)",Lajaunie-alpha,RefractiveIndex.info,main,Lajaunie-alpha.yml,0.000898,0.996483,1.000000,0.000434,1.000000,1.000000,0.000501,1.000000,1.000000,0.000222,1.000000,1.000000,0.000282,1.000000,1.000000
"MoO3 (Lajaunie-beta)",Lajaunie-beta,RefractiveIndex.info,main,Lajaunie-beta.yml,0.000597,0.999595,1.000000,0.000368,0.960246,1.000000,0.000460,0.866419,1.000000,0.000291,1.000000,1.000000,0.000227,1.000000,1.000000
"MoO3 (Lajaunie-gamma)",Lajaunie-gamma,RefractiveIndex.info,main,Lajaunie-gamma.yml,0.001832,0.998512,1.000000,0.000165,0.996893,1.000000,0.000311,0.974359,1.000000,0.000197,1.000000,1.000000,0.000277,1.000000,1.000000
"MoO3 (Stelling)",Stelling,RefractiveIndex.info,main,Stelling.yml,0.000252,0.999335,1.000000,0.000056,1.000000,0.373281,0.000264,1.000000,0.000000,0.000230,1.000000,0.000000,0.000274,1.000000,0.000000
"MoO3 (Vos)",Vos,RefractiveIndex.info,main,Vos.yml,0.000361,0.999712,1.000000,0.000362,0.983561,0.685250,0.000571,1.000000,0.000000,0.000470,1.000000,0.000000,0.000263,1.000000,0.000000
"MoS2 (Beal)",Beal,RefractiveIndex.info,main,Beal.yml,0.004227,0.987186,1.000000,0.001463,0.986070,1.000000,0.000231,1.000000,0.097143,0.000207,1.000000,0.000000,0.000240,1.000000,0.000000
"MoS2 (Ermolaev-1L)",Ermolaev-1L,RefractiveIndex.info,main,Ermolaev-1L.yml,0.006197,0.990678,1.000000,0.000586,0.997164,1.000000,0.000576,0.990108,1.000000,0.000509,1.000000,0.200000,0.000297,1.000000,0.000000
"MoS2 (Ermolaev-o)",Ermolaev-o,RefractiveIndex.info,main,Ermolaev-o.yml,0.004646,0.988821,1.000000,0.000734,0.995400,1.000000,0.000624,0.990933,1.000000,0.000512,1.000000,0.200000,0.000185,1.000000,0.000000
"MoS2 (Hsu-1L)",Hsu-1L,RefractiveIndex.info,main,Hsu-1L.yml,0.008168,0.948950,0.890767,0.005771,0.816109,0.240531,0.000539,1.000000,0.000000,0.000440,1.000000,0.000000,0.000450,1.000000,0.000000
"MoS2 (Hsu-2L)",Hsu-2L,RefractiveIndex.info,main,Hsu-2L.yml,0.008415,0.915351,0.890767,0.003716,0.891449,0.240531,0.000534,1.000000,0.000000,0.000425,1.000000,0.000000,0.000482,1.000000,0.000000
"MoS2 (Hsu-3L)",Hsu-3L,RefractiveIndex.info,main,Hsu-3L.yml,0.007018,0.992168,0.890767,0.004766,0.651385,0.240531,0.000239,1.000000,0.000000,0.000272,1.000000,0.000000,0.000325,1.000000,0.000000
"MoS2 (Islam-1L)",Islam-1L,RefractiveIndex.info,main,Islam-1L.yml,0.009686,0.976748,1.000000,0.000493,0.997484,1.000000,0.000471,0.983200,0.428571,0.000336,1.000000,0.000000,0.000508,1.000000,0.000000
