name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Hypersthene (Mg,Fe^2+)_2Si_2O_6 (IN-14A)",IN-14A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-14a.jpl.nicolet.spectrum.txt,0.001114,0.000000,0.000000,0.000623,1.000000,0.000000,0.001217,0.998117,0.356929,0.004331,0.997252,1.000000,0.002234,0.998344,1.000000
"Rhodonite (Mn,Ca)SiO_3 (IN-1A)",IN-1A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-1a.jpl.nicolet.spectrum.txt,0.000207,1.000000,0.000000,0.000856,1.000000,0.000000,0.001211,0.978119,0.356929,0.007139,0.998063,1.000000,0.006510,0.977613,1.000000
"Wollastonite CaSiO_3 (IN-2A)",IN-2A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-2a.jpl.nicolet.spectrum.txt,0.000190,1.000000,0.000000,0.000506,1.000000,0.000000,0.001088,0.978424,0.356929,0.011230,0.996062,1.000000,0.008095,0.971702,1.000000
"Glaucophane Na_2(Mg,Fe^2+)_3Al_2Si_8O_22(OH)_2 (IN-3A)",IN-3A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-3a.jpl.nicolet.spectrum.txt,0.000482,1.000000,0.000000,0.000929,1.000000,0.000000,0.001479,0.994320,0.356929,0.005301,0.997219,1.000000,0.002464,0.996406,1.000000
"Actinolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-4A)",IN-4A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-4a.jpl.nicolet.spectrum.txt,0.000179,1.000000,0.000000,0.000540,1.000000,0.000000,0.004166,0.993835,0.356929,0.013878,0.993044,1.000000,0.005528,0.989785,1.000000
"Tremolite Ca_2(Mg,Fe^2+)_5Si_8O_22(OH)_2 (IN-5A)",IN-5A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-5a.jpl.nicolet.spectrum.txt,0.000284,1.000000,0.000000,0.000421,1.000000,0.000000,0.004729,0.966053,0.356929,0.014604,0.993220,1.000000,0.006427,0.981480,1.000000
"Cummingtonite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-6A)",IN-6A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-6a.jpl.nicolet.spectrum.txt,0.000491,1.000000,0.000000,0.000467,1.000000,0.000000,0.001072,0.990786,0.356929,0.002678,0.994190,1.000000,0.001794,0.993647,1.000000
"Riebeckite Na_2(Fe^2+,Mg)_3,Fe_2^3+Si_8O_22(OH)_2 (IN-7A)",IN-7A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-7a.jpl.nicolet.spectrum.txt,0.000253,1.000000,0.000000,0.000620,1.000000,0.000000,0.001775,0.958363,0.356929,0.008277,0.997656,1.000000,0.002538,0.998016,1.000000
"Anthophyllite (Mg,Fe^2+)_7Si_8O_22(OH)_2 (IN-8A)",IN-8A,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-8a.jpl.nicolet.spectrum.txt,0.000375,1.000000,0.000000,0.000265,1.000000,0.000000,0.003013,0.992624,0.356929,0.006245,0.997677,1.000000,0.003439,0.993014,1.000000
"Diopside CaMg(SiO_3)_2 (IN-9B)",IN-9B,becknic,mineral,mineral.silicate.inosilicate.fine.tir.in-9b.jpl.nicolet.spectrum.txt,0.000727,1.000000,0.000000,0.000888,1.000000,0.000000,0.001219,0.974510,0.356929,0.006762,0.994699,1.000000,0.003081,0.990441,1.000000
