name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Hornblende Schist (schist2)",schist2,becknic,rock,rock.metamorphic.schist.fine.all.schist2.jhu.becknic.spectrum.txt,0.002053,0.997168,0.883721,0.004197,0.899635,1.000000,0.004315,0.998417,1.000000,0.006671,0.998699,1.000000,0.002795,0.995025,0.998000
"Mica Schist (schist3)",schist3,becknic,rock,rock.metamorphic.schist.fine.all.schist3.jhu.becknic.spectrum.txt,0.002107,0.995705,0.883721,0.000957,0.931132,1.000000,0.001264,0.960733,1.000000,0.002873,0.997231,1.000000,0.000989,0.997211,0.998000
"Tourmaline Schist (schist4)",schist4,becknic,rock,rock.metamorphic.schist.fine.all.schist4.jhu.becknic.spectrum.txt,0.002185,0.994302,0.883721,0.001705,0.994065,1.000000,0.005877,0.997345,1.000000,0.010930,0.994955,1.000000,0.002863,0.976778,0.998000
"Tremolite Schist (schist6)",schist6,becknic,rock,rock.metamorphic.schist.fine.all.schist6.jhu.becknic.spectrum.txt,0.004323,0.968335,0.883721,0.007244,0.968679,1.000000,0.006988,0.990543,1.000000,0.014167,0.996552,1.000000,0.002534,0.990203,0.998000
"Chlorite Schist (schist7)",schist7,becknic,rock,rock.metamorphic.schist.fine.all.schist7.jhu.becknic.spectrum.txt,0.002015,0.997246,0.883721,0.001432,0.986642,1.000000,0.002852,0.999315,1.000000,0.004436,0.999335,1.000000,0.001297,0.998885,0.998000
"Anthophyllite Mica Schist (schist8)",schist8,becknic,rock,rock.metamorphic.schist.fine.all.schist8.jhu.becknic.spectrum.txt,0.002125,0.998704,0.883721,0.002202,0.995988,1.000000,0.003032,0.997156,1.000000,0.004647,0.998389,1.000000,0.001670,0.998560,0.998000
"Hornblende Schist (schist9)",schist9,becknic,rock,rock.metamorphic.schist.fine.all.schist9.jhu.becknic.spectrum.txt,0.001752,0.994755,0.883721,0.001161,0.997486,1.000000,0.003939,0.998392,1.000000,0.003984,0.999354,1.000000,0.001603,0.994897,0.998000
"Biotite Schist (Ap-938-95)",Ap-938-95,becknic,rock,rock.metamorphic.schist.solid.all.ap-938-95.usgs.perknic.spectrum.txt,0.002011,0.990947,0.872093,0.001423,0.948308,1.000000,0.001930,0.996546,1.000000,0.000940,0.995801,1.000000,0.001137,0.996893,0.888353
"Chlorite Schist (AP-961-197)",AP-961-197,becknic,rock,rock.metamorphic.schist.solid.all.ap-961-197.usgs.perknic.spectrum.txt,0.001168,0.995643,0.872093,0.000916,0.597862,1.000000,0.002416,0.995483,1.000000,0.001678,0.998694,1.000000,0.003052,0.997591,0.888353
"Mica Schist (Ward83)",Ward83,becknic,rock,rock.metamorphic.schist.solid.all.ward83.jpl.nicolet.spectrum.txt,0.000383,1.000000,0.000000,0.000448,1.000000,0.000000,0.003985,0.983257,0.357286,0.002467,0.997841,1.000000,0.002427,0.999090,1.000000
"Garnetiferous Mica Schist (Ward84)",Ward84,becknic,rock,rock.metamorphic.schist.solid.all.ward84.jpl.nicolet.spectrum.txt,0.001255,0.000000,0.000000,0.000553,1.000000,0.000000,0.004360,0.995289,0.357286,0.003639,0.998033,1.000000,0.002070,0.999064,1.000000
"Garnetiferous Mica Schist (Ward84)",Ward84,becknic,rock,rock.metamorphic.schist.solid.all.ward84.jpl.perkin.spectrum.txt,0.000632,0.999088,0.883721,0.002509,0.710194,1.000000,0.001863,0.997056,0.999286,0.000720,1.000000,0.000000,0.000586,1.000000,0.000000
"Hornblende Schist (Ward86)",Ward86,becknic,rock,rock.metamorphic.schist.solid.all.ward86.jpl.nicolet.spectrum.txt,0.000472,1.000000,0.000000,0.000540,1.000000,0.000000,0.003488,0.987266,0.357286,0.001905,0.995062,1.000000,0.003916,0.995850,1.000000
"Tourmaline-Mica Schist (Ward89)",Ward89,becknic,rock,rock.metamorphic.schist.solid.all.ward89.jpl.nicolet.spectrum.txt,0.000461,1.000000,0.000000,0.000483,1.000000,0.000000,0.004997,0.925549,0.357286,0.002233,0.996404,1.000000,0.003838,0.998514,1.000000
"Quartz-Sericite Schist (Ward90)",Ward90,becknic,rock,rock.metamorphic.schist.solid.all.ward90.jpl.nicolet.spectrum.txt,0.000251,1.000000,0.000000,0.000556,1.000000,0.000000,0.008008,0.993465,0.357286,0.005687,0.998642,1.000000,0.006128,0.994569,1.000000
