# Emitted spectral radiance of the Cornell light panel, measured
# from Quantiloom by rendering the panel alone one wavelength at a
# time. Author RGB [15.0, 15.0, 12.0]; the expansion convention is
# L(lambda) = 2*max(rgb) * sigmoid(c; lambda) * D65(lambda).
# Produced by scripts/validation/measure_panel_spectrum.py so that a
# second renderer can be given the same emitter as data rather than
# reimplementing the convention.
# wavelength_nm, radiance_W_sr-1_m-2_nm-1
380.0, 4.40958023
382.0, 4.54643202
384.0, 4.68530464
386.0, 4.82618189
388.0, 4.96904278
390.0, 5.11386585
392.0, 5.70420504
394.0, 6.30644655
396.0, 6.92054224
398.0, 7.54643297
400.0, 8.18405056
402.0, 8.44598866
404.0, 8.71133614
406.0, 8.9800415
408.0, 9.25205612
410.0, 9.52732277
412.0, 9.66305161
414.0, 9.79912281
416.0, 9.93549538
418.0, 10.0721321
420.0, 10.2089958
422.0, 10.1542711
424.0, 10.0962172
426.0, 10.0348339
428.0, 9.97012329
430.0, 9.90208912
432.0, 10.4051905
434.0, 10.9145803
436.0, 11.4301434
438.0, 11.9517593
440.0, 12.4793043
442.0, 12.8677511
444.0, 13.2596531
446.0, 13.6549358
448.0, 14.0535021
450.0, 14.4552288
452.0, 14.577837
454.0, 14.6994715
456.0, 14.8201065
458.0, 14.9397116
460.0, 15.0582609
462.0, 15.0790939
464.0, 15.0976019
466.0, 15.1138105
468.0, 15.1277237
470.0, 15.1393232
472.0, 15.2549782
474.0, 15.3695326
476.0, 15.4829607
478.0, 15.5952387
480.0, 15.7063494
482.0, 15.5936279
484.0, 15.4774551
486.0, 15.3578701
488.0, 15.2349243
490.0, 15.1086636
492.0, 15.1926556
494.0, 15.2753258
496.0, 15.3566885
498.0, 15.4367323
500.0, 15.515419
502.0, 15.5330238
504.0, 15.5487871
506.0, 15.5627213
508.0, 15.5748243
510.0, 15.5851107
512.0, 15.5512304
514.0, 15.5152702
516.0, 15.4772482
518.0, 15.4371901
520.0, 15.3951197
522.0, 15.5252123
524.0, 15.6543093
526.0, 15.7824211
528.0, 15.9095144
530.0, 16.0355358
532.0, 15.975852
534.0, 15.9142017
536.0, 15.850605
538.0, 15.7850962
540.0, 15.7176962
542.0, 15.7366419
544.0, 15.7540722
546.0, 15.7700167
548.0, 15.7844839
550.0, 15.7974415
552.0, 15.696744
554.0, 15.5942526
556.0, 15.4899931
558.0, 15.3840075
560.0, 15.2763233
562.0, 15.1786079
564.0, 15.0792866
566.0, 14.9783878
568.0, 14.875947
570.0, 14.7719927
572.0, 14.7622776
574.0, 14.7511835
576.0, 14.738719
578.0, 14.724885
580.0, 14.7096901
582.0, 14.4917727
584.0, 14.2725325
586.0, 14.0520315
588.0, 13.8303308
590.0, 13.6074848
592.0, 13.6419191
594.0, 13.6750555
596.0, 13.7068815
598.0, 13.7373857
600.0, 13.7665567
602.0, 13.7415771
604.0, 13.7153473
606.0, 13.6878767
608.0, 13.6591644
610.0, 13.6292152
612.0, 13.5526571
614.0, 13.4750042
616.0, 13.396266
618.0, 13.3164625
620.0, 13.2356091
622.0, 13.0781097
624.0, 12.9198895
626.0, 12.7609882
628.0, 12.6014452
630.0, 12.4412966
632.0, 12.4242592
634.0, 12.405983
636.0, 12.3864717
638.0, 12.3657198
640.0, 12.3437281
642.0, 12.2004042
644.0, 12.0565481
646.0, 11.9121895
648.0, 11.7673645
650.0, 11.6221037
652.0, 11.5881815
654.0, 11.5531101
656.0, 11.5168924
658.0, 11.4795275
660.0, 11.4410172
662.0, 11.4546537
664.0, 11.4667196
666.0, 11.4772024
668.0, 11.4860897
670.0, 11.493371
672.0, 11.3305836
674.0, 11.1677217
676.0, 11.0048256
678.0, 10.8419361
680.0, 10.6790867
682.0, 10.3922882
684.0, 10.106905
686.0, 9.82301044
688.0, 9.54068279
690.0, 9.25998783
692.0, 9.25701714
694.0, 9.25260735
696.0, 9.24675465
698.0, 9.23945904
700.0, 9.23071384
702.0, 9.24234486
704.0, 9.25224495
706.0, 9.26040459
708.0, 9.26682758
710.0, 9.27150154
712.0, 8.89092445
714.0, 8.51406956
716.0, 8.14103699
718.0, 7.77191162
720.0, 7.40678644
722.0, 7.54748487
724.0, 7.68451214
726.0, 7.81783819
728.0, 7.94744015
730.0, 8.07328892
732.0, 8.12479496
734.0, 8.17370605
736.0, 8.22002029
738.0, 8.26373768
740.0, 8.30485535
742.0, 7.97741175
744.0, 7.65413046
746.0, 7.33508825
748.0, 7.02033854
750.0, 6.70994616
752.0, 6.28527164
754.0, 5.86743116
756.0, 5.45650053
758.0, 5.0525341
760.0, 4.65559101
762.0, 5.01126575
764.0, 5.35816908
766.0, 5.69628048
768.0, 6.0256052
770.0, 6.34613276
772.0, 6.21058369
774.0, 6.07641983
776.0, 5.94366789
778.0, 5.8123498
780.0, 5.68249321
