# wavelength_nm, reflectance
3140.0, 0.049788
3160.0, 0.051805
3180.0, 0.053690
3200.0, 0.055094
3220.0, 0.055970
3240.0, 0.056896
3260.0, 0.056148
3280.0, 0.057111
3300.0, 0.057162
3320.0, 0.056823
3340.0, 0.052522
3360.0, 0.045769
3380.0, 0.038639
3400.0, 0.036542
3420.0, 0.033816
3440.0, 0.040253
3460.0, 0.044816
3480.0, 0.044389
3500.0, 0.042477
3520.0, 0.052369
3540.0, 0.065872
3560.0, 0.071240
3580.0, 0.075167
3600.0, 0.079344
3620.0, 0.081590
3640.0, 0.083281
3660.0, 0.083889
3680.0, 0.084656
3700.0, 0.086221
3720.0, 0.086604
3740.0, 0.086496
3760.0, 0.086920
3780.0, 0.086210
3800.0, 0.083293
3820.0, 0.081175
3840.0, 0.079812
3860.0, 0.080287
3880.0, 0.080728
3900.0, 0.080834
3920.0, 0.080686
3940.0, 0.079643
3960.0, 0.076471
3980.0, 0.076361
4000.0, 0.079653
4020.0, 0.083803
4040.0, 0.087340
4060.0, 0.090771
4080.0, 0.093295
4100.0, 0.094267
4120.0, 0.095892
4140.0, 0.096920
4160.0, 0.097033
4180.0, 0.098232
4200.0, 0.098843
4220.0, 0.098520
4240.0, 0.098667
4260.0, 0.098378
4280.0, 0.098261
4300.0, 0.098338
4320.0, 0.098305
4340.0, 0.098149
4360.0, 0.098045
4380.0, 0.097355
4400.0, 0.096296
4420.0, 0.094776
4440.0, 0.093067
4460.0, 0.091461
4480.0, 0.090140
4500.0, 0.090075
4520.0, 0.091139
4540.0, 0.092392
4560.0, 0.091976
4580.0, 0.091699
4600.0, 0.090710
4620.0, 0.089462
4640.0, 0.086019
4660.0, 0.083357
4680.0, 0.082350
4700.0, 0.083951
4720.0, 0.086782
4740.0, 0.088576
4760.0, 0.088206
4780.0, 0.088075
4800.0, 0.087448
4820.0, 0.086311
4840.0, 0.085554
4860.0, 0.083173
4880.0, 0.080263
4900.0, 0.076142
4920.0, 0.071976
4940.0, 0.070368
4960.0, 0.068689
4980.0, 0.065589
5000.0, 0.064274
5100.0, 0.062300
5200.0, 0.063215
5300.0, 0.051262
5400.0, 0.052659
5500.0, 0.048894
5600.0, 0.039951
5700.0, 0.040889
5800.0, 0.032957
5900.0, 0.026159
6000.0, 0.024689
6100.0, 0.025756
6200.0, 0.026214
6300.0, 0.030425
6400.0, 0.046737
6500.0, 0.052852
6600.0, 0.048140
6700.0, 0.042069
6800.0, 0.034984
6900.0, 0.033138
7000.0, 0.034850
7100.0, 0.035965
7200.0, 0.031943
7300.0, 0.032049
7400.0, 0.035097
7500.0, 0.036116
7600.0, 0.036113
7700.0, 0.038465
7800.0, 0.039249
7900.0, 0.042687
8000.0, 0.049829
8100.0, 0.059144
8200.0, 0.067554
8300.0, 0.063864
8400.0, 0.058886
8500.0, 0.053887
8600.0, 0.045360
8700.0, 0.050363
8800.0, 0.052961
8900.0, 0.053806
9000.0, 0.054617
9100.0, 0.056021
9200.0, 0.056420
9300.0, 0.055866
9400.0, 0.050759
9500.0, 0.046166
9600.0, 0.045087
9700.0, 0.043966
9800.0, 0.041859
9900.0, 0.040940
10000.0, 0.039414
10100.0, 0.037996
10200.0, 0.037305
10300.0, 0.036379
10400.0, 0.035150
10500.0, 0.033523
10600.0, 0.033075
10700.0, 0.032669
10800.0, 0.033577
10900.0, 0.033851
11000.0, 0.034816
11100.0, 0.036746
11200.0, 0.040364
11300.0, 0.037743
11400.0, 0.031624
11500.0, 0.030018
11600.0, 0.028954
11700.0, 0.027202
11800.0, 0.023338
11900.0, 0.023549
12000.0, 0.022619
12100.0, 0.020999
12200.0, 0.020118
12300.0, 0.020323
12400.0, 0.022339
12500.0, 0.024827
12600.0, 0.025259
12700.0, 0.025685
12800.0, 0.028657
12900.0, 0.026725
13000.0, 0.025272
13100.0, 0.025197
13200.0, 0.023912
13300.0, 0.023264
13400.0, 0.020414
13500.0, 0.021125
13600.0, 0.020509
13700.0, 0.016588
13800.0, 0.015374
13900.0, 0.024347
14000.0, 0.015884
