# wavelength_nm, reflectance
2060.0, 0.390700
2080.0, 0.393200
2100.0, 0.395300
2120.0, 0.397700
2140.0, 0.397900
2160.0, 0.394300
2180.0, 0.389100
2200.0, 0.382100
2220.0, 0.377000
2240.0, 0.373500
2260.0, 0.367416
2280.0, 0.362750
2300.0, 0.359044
2320.0, 0.357352
2340.0, 0.349660
2360.0, 0.348206
2380.0, 0.345136
2400.0, 0.335790
2420.0, 0.326856
2440.0, 0.315692
2460.0, 0.306156
2480.0, 0.298670
2500.0, 0.296644
2520.0, 0.290974
2540.0, 0.287850
2560.0, 0.288634
2580.0, 0.286764
2600.0, 0.284702
2620.0, 0.278358
2640.0, 0.270508
2660.0, 0.255036
2680.0, 0.214844
2700.0, 0.143030
2720.0, 0.094060
2740.0, 0.063469
2760.0, 0.050405
2780.0, 0.048091
2800.0, 0.048816
2820.0, 0.049397
2840.0, 0.049237
2860.0, 0.049307
2880.0, 0.048603
2900.0, 0.048560
2920.0, 0.046667
2940.0, 0.046345
2960.0, 0.048271
2980.0, 0.049149
3000.0, 0.051771
3020.0, 0.051980
3040.0, 0.050375
3060.0, 0.051322
3080.0, 0.052523
3100.0, 0.053455
3120.0, 0.055052
3140.0, 0.055437
3160.0, 0.055737
3180.0, 0.060704
3200.0, 0.064096
3220.0, 0.065711
3240.0, 0.066443
3260.0, 0.070590
3280.0, 0.073543
3300.0, 0.072461
3320.0, 0.075285
3340.0, 0.074249
3360.0, 0.074544
3380.0, 0.072683
3400.0, 0.071317
3420.0, 0.073650
3440.0, 0.074940
3460.0, 0.078789
3480.0, 0.078982
3500.0, 0.083130
3520.0, 0.091383
3540.0, 0.100563
3560.0, 0.106520
3580.0, 0.109424
3600.0, 0.112782
3620.0, 0.115528
3640.0, 0.119650
3660.0, 0.121872
3680.0, 0.123642
3700.0, 0.124430
3720.0, 0.126542
3740.0, 0.128210
3760.0, 0.127664
3780.0, 0.127516
3800.0, 0.124942
3820.0, 0.121188
3840.0, 0.117864
3860.0, 0.115824
3880.0, 0.115528
3900.0, 0.115060
3920.0, 0.112302
3940.0, 0.106047
3960.0, 0.096341
3980.0, 0.093752
4000.0, 0.102796
4020.0, 0.117794
4040.0, 0.128064
4060.0, 0.135042
4080.0, 0.137910
4100.0, 0.139234
4120.0, 0.139440
4140.0, 0.139476
4160.0, 0.138720
4180.0, 0.138416
4200.0, 0.136742
4220.0, 0.135838
4240.0, 0.134360
4260.0, 0.132908
4280.0, 0.131508
4300.0, 0.130164
4320.0, 0.129320
4340.0, 0.127978
4360.0, 0.125926
4380.0, 0.122080
4400.0, 0.119764
4420.0, 0.116680
4440.0, 0.114110
4460.0, 0.112896
4480.0, 0.111362
4500.0, 0.110506
4520.0, 0.111932
4540.0, 0.113686
4560.0, 0.113584
4580.0, 0.112912
4600.0, 0.109852
4620.0, 0.108236
4640.0, 0.106282
4660.0, 0.102838
4680.0, 0.101442
4700.0, 0.102800
4720.0, 0.104694
4740.0, 0.104400
4760.0, 0.103384
4780.0, 0.102318
4800.0, 0.101496
4820.0, 0.100226
4840.0, 0.097699
4860.0, 0.096050
4880.0, 0.091652
4900.0, 0.088878
4920.0, 0.085122
4940.0, 0.083623
4960.0, 0.082440
4980.0, 0.080427
5000.0, 0.079500
5100.0, 0.075539
5200.0, 0.070983
5300.0, 0.063350
5400.0, 0.059901
5500.0, 0.051563
5600.0, 0.043943
5700.0, 0.045005
5800.0, 0.037757
5900.0, 0.028825
6000.0, 0.021790
6100.0, 0.020061
6200.0, 0.022873
6300.0, 0.029338
6400.0, 0.038997
6500.0, 0.039615
6600.0, 0.035872
6700.0, 0.031411
6800.0, 0.030410
6900.0, 0.029174
7000.0, 0.029403
7100.0, 0.028419
7200.0, 0.030369
7300.0, 0.036433
7400.0, 0.040744
7500.0, 0.043151
7600.0, 0.043834
7700.0, 0.046854
7800.0, 0.049981
7900.0, 0.059799
8000.0, 0.079769
8100.0, 0.106997
8200.0, 0.136180
8300.0, 0.140769
8400.0, 0.140894
8500.0, 0.140812
8600.0, 0.121757
8700.0, 0.131917
8800.0, 0.141508
8900.0, 0.142597
9000.0, 0.142244
9100.0, 0.147463
9200.0, 0.152267
9300.0, 0.153502
9400.0, 0.139308
9500.0, 0.125550
9600.0, 0.118706
9700.0, 0.110620
9800.0, 0.102582
9900.0, 0.097024
10000.0, 0.088807
10100.0, 0.082421
10200.0, 0.072627
10300.0, 0.064682
10400.0, 0.058536
10500.0, 0.053009
10600.0, 0.048996
10700.0, 0.046324
10800.0, 0.044746
10900.0, 0.044967
11000.0, 0.044709
11100.0, 0.043983
11200.0, 0.043711
11300.0, 0.042910
11400.0, 0.041692
11500.0, 0.041352
11600.0, 0.037895
11700.0, 0.035576
11800.0, 0.033700
11900.0, 0.032080
12000.0, 0.029953
12100.0, 0.028058
12200.0, 0.025455
12300.0, 0.023216
12400.0, 0.029269
12500.0, 0.036709
12600.0, 0.035550
12700.0, 0.036849
12800.0, 0.042039
12900.0, 0.040422
13000.0, 0.036625
13100.0, 0.034205
13200.0, 0.032138
13300.0, 0.029777
13400.0, 0.028796
13500.0, 0.027790
13600.0, 0.027513
13700.0, 0.027299
13800.0, 0.027308
13900.0, 0.026318
14000.0, 0.025303
14100.0, 0.024584
14200.0, 0.022902
14300.0, 0.021323
14400.0, 0.024286
14500.0, 0.026706
14600.0, 0.025285
14700.0, 0.023044
14800.0, 0.017773
14900.0, 0.022710
15000.0, 0.027210
